race100m,longjump,shotput,highjump,race400m,race110mhurdles,discus,polevault,javelinthrow,race1500m
11.29,6.65,13.2,1.88,50.78,15.82,36.6,3.8,51.32,271.22
11.74,6.51,13.77,1.88,50.67,17.45,44.44,4.25,51.7,275.98
11.76,6.54,12.2,1.92,49,14.84,31.04,4.2,45.36,265.49
11.43,6.79,10.65,2.05,51.78,15.35,32,4.2,50.38,274.17
11.33,6.98,12.41,1.84,50.53,16.61,37.12,4.2,44.16,261.09
11.28,7.02,10.61,1.92,50.26,15.49,40.12,3.6,48.42,273.56
11.48,6.86,11.21,1.83,51.56,15.37,30.42,4.4,55.96,269.95
11.31,6.58,10.56,1.98,50.17,15.29,34.82,4.05,45.06,264.37
11.37,6.61,13.45,1.9,50.37,16.29,41.28,4,47.84,285
11.49,6.41,12.77,1.86,51.06,16.23,44.06,3.9,50.2,268.46
11.22,6.8,11.66,1.83,49.94,15.2,34.34,3.8,48.14,263.41
11.53,6.77,11.68,1.81,51.76,16.07,34.84,4.4,59.32,275.07
11.67,6.63,13.93,1.77,52.57,16.24,47.8,3.6,59.86,281.28
11.31,6.94,8.87,2,47.5,15.69,27.82,3,56.08,241
11.35,6.85,11.92,1.8,50.72,16.77,40.6,4.1,52.34,269.06
11.67,6.46,12.17,1.93,52.27,16.31,36.86,4.8,50.7,277.91
11.52,6.9,12.84,1.93,50.13,16.26,38.24,4.4,46.28,298.4
11.63,6.5,13.6,1.89,53.57,15.99,41.7,4.5,49.6,285.59
11.24,6.41,12.68,1.85,51.3,15.77,35.68,3.86,62.12,282.44
11.56,6.53,12.66,1.91,50.19,15.98,39.52,4.1,48.66,279.19
11.09,7.05,11.62,1.8,50.28,15.23,31.1,3.7,51.72,265.7
11.96,6.68,11.67,2.09,53.25,15.76,32.2,4.2,58.32,275.52
11.42,7.14,12.81,1.82,51.8,16.34,37.58,4.4,49.6,288.43
11.5,6.58,11.62,1.8,52.4,16.16,39.92,4.4,51.12,261.98
10.79,6.6,14.58,1.91,51.29,14.96,37.04,3.9,50.18,332.81
11.29,7.08,13.15,1.92,51.42,16.63,36.22,4,45.42,274.16
11.39,6.78,11,1.86,50.26,15.12,31.66,3.9,56.42,275.92
11.61,6.57,11.18,1.81,52.54,15.81,38.02,4.7,52.34,274.55
11.57,6.74,13.07,1.94,51.54,15.34,40.98,3.9,48.58,299.36
11.51,6.86,13.05,1.88,51.05,15.23,39.94,4.1,47.6,306.55
11.04,6.95,13.32,2,51.02,14.83,38.06,3.66,48.78,338.24
11.21,7.33,9.27,1.88,49.77,14.72,31.66,3.5,49.96,270.72
11.62,6.6,13.36,1.8,51.8,16.22,35.92,4.4,49.96,268.65
11.68,6.48,13.63,1.92,53.85,15.38,39.38,3.9,55.74,285.42
11.27,7.08,11.65,1.88,50.58,15.64,35.72,3.8,53.5,293.3
11.38,6.49,13.37,1.95,53.1,15.61,38.56,4.4,44.06,292.12
11.32,6.81,12.89,1.86,52.34,17.55,41.52,4.4,59.44,310.06
11.19,7.02,12.58,1.93,50.52,16.59,39.56,4.2,50.14,322.62
11.71,6.61,12.06,1.75,52.03,15.35,38.52,3.8,67.48,288.74
11.65,6.57,15.18,1.88,53.54,16.86,40.08,4,52.2,277.58
11.19,6.29,12.34,1.9,51.36,15.42,36.8,3.9,55.26,291.85
11.38,7.01,12.63,1.75,50.32,15.07,37.16,4,55.18,316.35
11.89,7.11,12.95,1.89,51.74,16.89,39.38,3.8,57.1,283.13
11.79,6.68,13.67,1.89,54.75,16.4,41.84,4.4,56.98,301.62
11.26,7.02,10.9,1.88,50.62,15.29,29.58,4.2,43.22,271.36
11.41,6.55,13,1.89,53.32,15.83,44.86,3.8,54.1,299.67
10.69,7.74,13.51,2.16,48.16,14.15,43.74,4.9,55.76,264.01
11.05,7.35,15.78,2,48.08,14.55,52.04,4.6,61.72,255.93
11.25,7.43,15.48,2.27,48.9,15.13,49.28,4.7,61.32,268.95
11.07,6.98,15.88,2.04,48.8,14.32,46.2,5,63.94,260.98
10.93,7.04,14.94,2.09,47.77,14.34,44.04,4.9,59.58,253.67
11.07,7.42,15.46,1.95,49.28,14.05,45.88,4.9,67.64,268.57
11.02,7.56,13.99,1.98,48.22,14.95,44.08,5.2,65.36,261.46
10.87,7.45,14.97,1.97,47.71,14.46,44.36,5.1,61.76,273.02
11.03,7.58,13.7,1.98,47.99,14.15,45.28,5.1,56.8,259.67
11.18,7.68,15.8,1.96,48.77,14.88,47.96,4.9,62.84,269.37
10.91,7.79,15.1,2.04,49.22,15.71,43.16,5,67.7,272.19
11.04,7.55,15.01,1.93,47.94,14.54,46.66,4.6,68.4,267.77
11.26,7.44,15.62,2.01,49.46,14.28,46.8,4.8,63.86,266.63
11.24,7.46,15.73,2.07,50.13,14.4,45.32,5,64.5,281.26
10.62,7.38,15.02,2.03,49.06,14.72,44.8,4.9,64.04,285.11
11.03,7.35,15.49,1.99,48.19,14.9,45.86,5,58.72,268.09
10.82,7.2,16.34,2.02,49.74,14.95,47.72,5,66.32,295.39
11.07,7.47,15.47,2,49.67,14.49,48.84,4.8,60.68,275.27
10.95,7.38,13.59,2.05,49.44,14.4,41.62,5.6,60.54,285.12
11.11,7.75,15.39,1.99,49.19,15.03,43.5,5.1,56.44,269.22
11.14,7.36,14.63,2.05,49.27,14.84,45.64,4.7,68.22,273.92
11.23,7.57,13.49,1.99,48.7,14.56,43.82,4.7,64.24,254.77
10.8,7.39,15.57,2.08,50.5,14.78,44.98,5,60.86,290.82
10.91,7.65,12.54,2.02,48.22,15.11,39.14,5.3,55.94,256.96
11.16,7.58,15.69,2.02,50.76,14.69,46.2,5,61.98,287.88
11.07,7.3,13.69,2.05,49.91,14.68,42.3,5.2,62.62,269.91
10.96,7.56,14.51,2.02,48.72,14.07,41.5,4.8,54.12,269.58
10.94,7.56,15.34,1.97,49.94,14.25,41.86,4.8,66.64,295.89
10.78,7.53,16.88,1.91,49.45,15.04,47.18,4.9,60.86,304.81
11.27,6.79,16.02,1.97,49.61,15.89,50.9,4.86,71.9,280.05
11.09,7.19,14.25,1.94,49.84,15.03,48.9,5,60.56,269.35
10.92,7.05,15.66,1.98,49.56,14.36,48.32,4.6,60.88,284.8
11.1,7.34,15.15,1.87,47.89,15.79,48.2,4.7,67.62,275.24
10.99,7.37,13.61,1.97,47.83,14.7,43.88,4.3,66.54,268.97
10.88,7.69,15.24,1.96,50,14.51,45.16,4.2,62.68,278.15
11.24,6.91,13.4,1.99,49.41,14.81,46.66,5.2,57.46,261.46
10.94,7.15,14.89,2.11,51.06,15.03,44.56,4.9,62.42,286.88
10.98,7.47,14.18,2.19,48.15,14.58,39.32,4.5,53.18,275.34
11.12,7.01,13.85,1.96,49.23,14.75,43.56,5,66.86,275.65
11.04,6.94,14.23,2.04,48.6,14.6,45.16,4.8,52.98,263.71
11.03,7.45,14.2,1.97,48.84,15.44,41.68,4.7,64,267.48
11.46,7.24,14.93,2.04,50.55,15.03,47.84,4.8,54.78,262.36
11.35,7.39,15.37,2.08,50.35,14.98,44.44,4.5,61.34,274.45
11.09,7.08,14.51,2.03,49.89,14.78,43.2,4.9,57.18,268.54
11.11,7.25,14.75,1.97,51.38,14.11,47.32,4.9,54.74,278.86
11.08,7.31,13.54,1.93,48.03,14.34,42.6,4.7,51.94,257.35
11.06,7.13,11.45,2.14,48.25,14.54,42.32,4.7,54.12,260.88
10.97,7.35,15.67,2.05,50.45,14.86,46.3,4.8,49,284.46
10.93,7.18,13.76,2.03,48.99,14.35,40.54,4.3,54.28,253.19
11.06,7.42,14.94,1.94,50.65,14.82,43.5,4.5,64,275.68
11.14,6.56,12.89,1.99,48.99,14.2,46.76,5.1,54.3,270.32
11.33,6.99,14.72,2.07,49.26,14.59,45.44,4.7,56.8,281.25
10.88,7.13,12.93,1.86,48.78,14.59,40.46,5.1,53.42,256.55
11.08,7.56,14.29,1.96,49.63,14.64,41.72,4.6,54.98,270.75
10.99,7.62,14.1,1.87,48.87,15.34,47.26,4.5,63.58,287.76
11.31,7.26,13.42,1.95,48.91,14.78,41.76,4.7,57.42,255.64
11.36,7.33,14.37,2.03,49.46,15.25,41.36,4.6,62.08,269.43
11.28,6.88,15.72,1.97,49.48,14.92,49.08,4.4,57.68,271.25
11.6,7.22,13.55,2.04,51.17,14.82,42.48,4.7,63.44,259.88
10.82,7.43,15.79,2.14,49.54,14.6,45.22,4.06,56.81,314.61
11.14,7.39,15.37,2.05,48.88,15.1,44.18,4.2,54.3,275.07
10.72,7.45,13.7,2.01,48.77,14.54,43.44,4.2,52.44,275.1
11.14,6.78,13.29,2.06,49.59,14.26,41.74,4.5,63.04,271.99
10.89,7.5,13.05,1.92,48.84,14.59,41.7,4.4,54.96,261.75
10.84,7.25,13.15,2.03,49.54,14.96,40.1,5.18,57.68,297.02
11.2,7.1,15.82,1.8,48.74,14.93,47.12,4.9,54.32,280.01
11.15,6.89,14.17,2,49.16,14.74,49.56,4.3,54.22,266.04
11.12,6.71,14.59,1.98,50.07,15.02,46.12,4.9,63.9,290.1
11.2,6.83,13.95,1.99,50.03,15.1,40,4.7,71.36,274.1
11.37,7.31,13.86,2.07,49.43,15.07,41.92,4.9,57,284.7
11.09,6.89,14.61,1.92,48.13,14.92,44.78,4.4,61.4,274.46
11.17,7.09,13.1,2.1,48.51,14.67,40.46,5,48.66,277.16
10.92,7.09,12.25,1.95,49.25,14.76,39.9,5,60.02,274.9
11.39,7.27,12.65,2.07,49.93,14.7,38.22,4.77,56.94,261.61
11.1,7.65,14.73,1.95,50.73,15.25,47.08,4.3,55.54,277.36
11.34,7.2,12.66,2.1,50,14.78,38.52,4.5,58.36,257.1
10.89,7.21,14.7,1.98,48.62,14.37,41.8,5,50.12,311.64
11.3,7.12,13.23,1.98,49.79,15.52,43.14,4.87,59.2,267.05
10.85,7.05,13.23,2.02,50.78,15.12,43.28,5,54.36,282.64
10.92,7.27,12.98,2.01,48.46,15.3,42.34,4.2,59.52,270.18
10.91,7.03,13.14,2.02,49.27,14.71,40.24,4.9,56.18,288.76
11.28,7.22,14.41,1.97,49.61,15.84,46.24,4.6,52.6,262.83
10.95,7.29,13.45,1.95,50.25,15.65,43,5,52.46,271.81
11.21,6.84,13.04,1.98,48.57,14.35,40.96,4.3,55.7,255.01
10.94,7.05,13.8,1.96,49.11,14.52,42.34,4.3,51.3,262.95
11.22,7.03,16.35,1.94,51,15,49.58,3.8,69.1,295.49
11.33,7.08,14.46,2.05,50.78,15.2,43.54,4.8,54,279.23
11.33,7.68,14.23,1.92,50.72,14.67,42.02,4.35,55.72,271.07
10.95,7.36,12.76,2.08,50.04,14.81,39.96,4.8,55.06,297.65
10.96,7.03,13.16,2.09,50.09,14.78,42.06,4.6,53.18,286.42
11.64,7.27,13.51,2.2,49.81,15.23,41.02,4.5,52.8,277.55
11.19,7.27,15.03,1.98,50.42,15.12,41.86,4.3,56.64,275.68
11.57,6.97,13.8,2.04,51.41,14.99,42.2,5,57.02,280.21
11.22,6.94,14.27,1.95,50.7,14.85,44.14,4.4,57.82,271.67
11.32,7.03,15.52,1.95,50.73,14.35,45.28,4.3,52.42,279.86
11.17,6.99,15.88,1.8,50.9,15.42,47.02,4.4,59.94,273.4
11.15,6.86,13.3,1.99,50.53,14.7,43.48,4.6,51.48,265.4
11.33,7.32,14.15,1.96,49.23,14.87,41.78,4.2,58.02,279.26
10.81,7.25,13.66,1.97,50.56,15.19,43.22,4.2,57.16,279.3
10.98,7.22,14.4,1.99,50.87,15.02,42.24,4.6,56.08,296.5
11.08,7.29,12.33,2.07,51.08,14.61,38.98,4.5,56.08,277.78
11.22,7.23,14.82,1.96,49.03,14.64,43.08,4.2,55.26,293.18
10.89,7,13.53,1.98,50.71,14.78,42,4.5,60.66,296.23
11.35,7.36,13.08,1.9,50.4,14.99,40.92,4.7,49.98,258.45
11.64,6.93,14.53,2.02,52.86,14.76,41.68,4.7,60.48,277.75
10.91,7.18,13.85,1.9,51.24,14.4,40.72,4.2,60.68,282.22
11.42,7.14,13.32,1.89,49.61,14.97,46.42,4.5,56.38,280.72
11.33,6.85,13.74,2.01,50.43,15.07,44.78,4.5,58,286.35
11.42,6.99,13.57,2.01,50.21,14.91,39.64,4.7,53.18,273.22
11.46,6.91,13.26,1.94,50.05,15.05,39.76,4.5,59.06,260.2
10.98,7.06,12.18,1.84,50.23,15.32,38.78,4.9,58.26,265.55
11.22,7.18,13.99,1.92,52.35,14.75,38.96,4.4,65.16,279.95
11.17,7.22,13.29,1.95,49.99,14.95,41.08,4.4,55.38,278.34
10.7,7.27,14.06,1.94,49.21,14.84,40.66,4,56.74,295.55
11.13,7.09,12.62,1.93,49.3,14.85,39.76,4.5,55.58,274
11.09,6.83,11.81,2.04,49.24,14.76,35.54,4.5,52.78,261.05
11.09,7.29,13.2,1.95,50.57,14.98,39.5,4.6,55.2,287.77
11.25,7.21,13.15,1.82,48.87,14.68,38.6,4.4,53.58,264.29
11.15,6.92,15.11,1.92,49.22,15.54,41.74,4.2,51.02,265.32
10.69,7.19,12.32,1.89,47.83,15.29,35.4,4.2,62.38,283.66
10.82,7.54,12.89,1.94,49.06,15.35,38.96,4.1,48.44,269.05
11.33,6.83,11.63,2.06,48.37,15.39,37.52,4.6,55.42,270.07
10.84,6.87,11.9,1.97,48.41,15.32,34.48,4.7,53.56,270.48
11.15,6.94,13.26,1.98,49.74,15.1,41.54,4.6,56.36,297.04
11.1,6.93,14.21,2.01,48.6,15.85,36.78,4,60.02,272.23
11.07,7.32,12.85,1.97,51.69,14.79,40.04,4.5,50.82,278.22
11.38,6.83,12.8,1.89,50.82,15.18,43.98,4.6,61.44,278.75
11.23,6.56,14.34,1.91,49.57,15.21,46.4,4,59.96,277.35
11.32,7.28,13.76,1.93,50.08,14.49,43.18,4.1,53.12,286.46
11.3,7.07,15.13,1.87,50.09,14.94,43.46,4.4,58.82,304.41
11.32,6.79,12.62,2,49.63,14.53,39.92,3.6,62.98,263.36
11.64,6.93,13.2,1.88,50.23,15.07,39.64,4.5,55.14,252.93
11.24,6.65,12.09,2.04,49.61,15.23,35.4,4.6,52.36,254.62
11.08,7,14.02,1.89,49.8,15.12,40.24,4.6,53.68,288.82
10.74,6.92,13.15,1.94,48.38,14.78,39.46,3.8,55.8,280.64
11.48,6.52,12.88,1.95,50.52,15.23,44.92,4.75,54.52,272.72
11.12,6.81,13.42,1.86,49.29,14.73,38.08,4.5,54.24,272.45
11.05,6.97,12.39,1.87,48.77,15.39,41.36,4.2,56.1,266.03
11.45,6.99,12.94,2.04,50.56,14.81,38.26,4.4,53.08,272.92
11.2,7.01,13.97,1.92,51.5,15.67,44.62,4.3,61.74,289.32
11.33,6.95,15.41,2.01,52.83,15.6,41.1,4.7,54.18,291.41
11.46,7.37,14.61,1.94,52.14,15.52,41.06,4,65.2,285.66
11.22,7.19,13.15,1.98,51.9,14.58,42.76,4.8,49.14,303.42
11.22,7.14,14.34,2.03,53.01,15.29,41.88,4.2,57.72,288.04
11.17,7.51,14.68,1.92,53.6,15.92,49.22,4.2,53.12,289.72
11.55,7.3,13.91,1.94,49.71,15.31,43.52,3.8,53.98,268.81
11.22,7.26,13.27,1.95,50.79,14.78,42.44,4,56.16,286.3
11.42,6.26,13.45,1.92,50.17,15.05,42.1,4.95,49.91,268.15
11.31,7.26,13.21,1.87,49.28,15.03,39.64,4.1,59.1,280.97
11.09,7.5,13.24,1.97,51.04,16.6,43.58,4.7,54.8,303.49
11.02,6.95,12.77,1.94,49.64,15.4,40,4.2,52.12,265.51
11.33,6.61,14.47,1.8,50.6,15.2,44.3,4.6,53.18,271.14
11.46,6.4,15.39,1.94,52.51,15.14,47.5,4.55,57.82,295.01
11.09,7.28,13.31,2.02,50.57,15.34,41.64,4.3,50.32,293.23
11.39,6.91,13.8,1.88,48.83,14.75,41.32,4.25,55.48,286.66
11.38,7.05,14.7,1.93,51.66,14.98,43.18,4.4,54.62,294.73
11.24,6.95,12.59,1.94,50.2,14.9,40.1,4.3,51.76,267.66
10.99,7,13.13,1.84,48.93,15.37,39.7,4.2,55.86,274.47
11.4,6.57,14.69,1.89,49.58,14.58,41.38,4.1,57.44,282.31
11.64,6.86,13.23,1.93,51.75,15.41,35.98,4.9,64.2,282.81
11.47,6.99,12.85,2.11,52.76,16.18,41.8,4.5,60.84,287.11
11.23,7.08,13.22,1.79,50.35,15.26,42.52,4.3,57.58,276.62
11.31,6.86,13.01,2,51.3,15.15,38.12,4,60.68,268.22
11.46,7.05,13.26,1.96,49.58,15.16,42.24,4.4,47.62,279.68
11.6,7.08,14.4,1.94,52.27,15.6,46.88,4.2,56.38,284.18
11.34,6.75,14.19,1.99,48.88,15.27,41.7,3.9,51.54,275.16
11.6,7.09,13.72,2.1,50.98,15.04,40.4,4.3,48.9,288.42
11.02,7.01,12.34,1.97,49.89,15.55,36.78,4.4,52.38,272.6
11.38,7.15,15,1.95,51.91,15.44,40.16,4.3,54.28,287.14
11.68,6.61,11.86,2.03,51.59,15.45,43.14,4.6,59.36,276.31
11.97,7.01,14.45,1.93,50.84,15.25,43.04,4.6,53.26,287.16
11.22,6.95,13.19,1.96,50.5,14.87,37.36,4.5,54.78,294.51
11.24,7.5,12.02,1.96,50.2,15.42,31.58,4.2,58.42,273.23
11.07,7.42,12.86,2,49.81,15.38,41.74,4,45.46,286.34
11.01,7.16,11.22,1.89,48.59,14.83,32.88,4.3,55.4,275.56
11.92,6.63,13.15,1.99,50.78,15.5,40.64,4.9,49.04,267.86
11.61,6.43,14.92,1.92,51.18,15.29,48.18,4.1,59.02,289.99
11.36,7.15,14.34,1.98,50.92,15.54,41.04,4,59.4,298.69
11.04,7.01,12.74,1.9,49.38,14.67,40.26,4.1,52.24,291.02
11.29,6.91,12.89,1.97,49.91,15.28,40,3.9,55.34,272.22
11.03,7.03,12.71,1.99,49.66,15.91,37.22,4.1,50.82,266.84
10.99,7.02,13.58,1.8,50.66,14.79,44.12,4.2,58.84,311.26
11.74,7.07,13.13,2.02,52.71,15.56,40.36,4.2,56.32,265.71
11.36,6.73,11.91,2.01,50.04,14.98,36.8,4.4,51.94,270.82
11.53,7.07,11.77,1.99,50.44,15.08,36.42,5,45.26,279.96
11.08,7.11,15.3,1.97,53.96,15.43,47.16,4.2,51.94,312.53
11.44,6.94,13,1.98,51.51,15.8,37.52,4.8,50.8,274.5
11.59,6.36,15.18,1.93,50.91,15.39,48.3,4.2,59.36,304.16
11.54,6.9,12.23,2.01,51.17,15.72,37.38,4.5,58.18,276.2
11.15,7.17,12.64,1.89,51.18,14.96,34.9,4.85,52.08,295.89
11,6.68,11.74,1.94,50.39,14.71,39.1,4.55,53.64,295.7
11.1,7.19,11.85,2.02,52.31,15.4,36.78,4.5,47.76,273.22
11.44,6.93,13.7,1.86,49.96,14.8,42.72,4,50.52,277.93
11.41,6.72,13.88,1.86,49.17,16.16,41.72,4.5,54.5,282.82
11.2,6.85,12.84,1.92,50.74,15.34,38.96,4.5,61.04,305.32
11.35,7.06,14.32,2,50.54,15.02,40.06,4.2,45.6,295.04
11.03,7.17,12.14,1.91,48.21,16.44,33.98,4.5,47.02,266.19
11.36,7.03,11.13,2.02,49.91,15.31,35.58,4.3,46.28,257.86
11.48,7.14,14.58,1.86,51.93,16.18,45.96,4.8,54.32,316.39
10.76,6.81,12.68,2.06,48.87,15.28,36.9,3.65,44.52,271
11.46,6.73,12.69,1.83,51.13,15.82,39.26,4.7,59.16,273.45
11.34,6.77,12.95,1.93,50.31,14.94,37.4,4.2,51.2,270.18
11.35,7.12,13.42,2.03,51.09,15.1,39.36,3.9,50.28,284.6
11.29,7.06,12.2,1.97,50.76,14.59,37.32,4.1,46.56,270.56
11.48,6.61,14.06,1.87,49.72,16.07,45.44,4,55.22,273.67
11.39,6.92,12.45,1.92,50.62,15.46,38.08,4.2,57.44,275.19
11.25,6.77,14.58,1.83,50.24,15.23,44.16,3.8,54.2,284.51
11.36,6.99,12.09,1.79,50.36,15.89,38.42,4.6,63.78,286.61
11.37,6.64,13.21,1.97,52.94,15.88,42,4.5,55.64,279.48
11.53,6.92,12.84,1.94,50.78,15.47,37,4.5,51.46,273.56
11.49,7.07,11.81,1.9,50.55,15.24,37.74,4.4,47.2,259.72
11.39,6.9,12.8,1.87,50.91,15.47,37.78,4.4,54.66,274.28
11.5,6.94,14.08,1.85,51.03,16.07,42.66,3.8,58.22,267.61
11.28,7.05,12.57,1.94,51.05,15.37,40.04,4.1,53.06,282.17
11.29,7.36,11.39,1.92,49.54,14.49,37.96,3.9,44.06,270.98
11.44,6.49,12.02,2,49.21,15.29,42.44,4,50.1,271.8
11.72,6.84,12.68,1.94,50.02,15.26,38.6,4.3,51.9,273.17
11.43,6.86,15.44,1.88,50.92,15.65,44.34,4.1,55.44,307.58
11.23,6.73,12.83,2.16,51.18,15.67,37.54,4.4,50.06,301.11
10.9,6.84,12.46,1.88,49.67,16.63,34.76,4,62.04,267.64
10.91,7.21,13.04,1.82,50.05,14.61,41.16,3.8,51.06,300.33
11.56,6.79,12.4,1.88,52.15,15.09,39.94,4.95,49.52,284.34
11.51,6.51,14.36,1.8,50.83,15.23,38.52,4,65.78,280.63
11.65,6.92,12.5,1.92,50.62,15.2,39.72,4.7,46.32,281.52
11.48,6.84,11.62,2.02,51.76,15.03,36.92,4.8,50.1,291.08
11.55,6.71,14.47,1.91,51.77,15.51,40.76,4.3,55.42,288.72
11.55,6.74,13.7,1.92,50.18,15.67,37.78,4,51.76,261.07
11.34,6.65,13.63,1.87,52.51,15.49,39.18,4.5,51.26,270.44
11.48,6.73,14.08,1.85,53.02,15.2,42.2,4.5,54.3,289.08
11.44,6.85,12.92,2.09,50.57,16.71,37.32,4,52.98,267.06
11.29,7.23,11.53,1.99,50.05,15.35,34.62,4.1,45.12,264.13
11.01,7.57,13.04,1.98,53.47,14.97,40.82,4.5,60.8,381.37
11.67,6.61,12.07,1.98,52.14,15.17,41.96,4.7,44.6,271.59
11.15,7,11.91,1.95,51.21,15.16,37.2,4.5,44.08,278.63
11.47,6.65,13.17,1.92,50.48,15.76,37.6,4.1,55.06,266.26
11.47,7.09,11.02,2.1,49.84,15.54,36.72,4.05,50.18,281.4
11.4,6.87,14.61,1.92,51.59,17.08,44.8,4.2,52.56,283.79
11.14,6.97,13.8,2,51.99,16.17,38.42,4.25,53.98,298.93
11.54,6.52,12.82,1.85,49.25,15.27,36.96,4.2,51.8,262.29
11.07,6.91,11.3,2.01,48.61,16.17,36.38,4.4,48.04,288.78
11.19,7.31,11.1,1.8,50.59,15.09,36.56,4.1,55.76,279.11
11.52,7.22,14.14,1.84,54,14.89,37.98,4.5,55.36,302.5
11.52,6.86,12.43,1.83,53.74,15.55,36.92,5.2,56,291.52
11.33,6.85,12.59,1.96,49.85,15.35,39.82,3.65,48.48,268.39
11.38,6.98,12.19,1.87,50.53,15.52,34.42,4.3,57.06,278.88
10.99,7.05,14.03,1.89,52.18,15.66,41.18,4.1,45.74,288.3
11.1,6.98,12.13,2.01,51.64,15.63,40.62,4,41.94,269.81
11.23,6.6,14.64,1.96,50.9,15.46,41.22,4.6,48.06,326.09
10.96,6.95,11.16,1.95,49.55,15.04,34.3,4.2,50.26,291.76
10.95,7.12,13.03,2.02,51.59,15.15,36.38,3.9,44.76,290.4
11.21,6.39,12.56,1.9,51.35,15.71,43.52,4.5,52.72,293.35
11.37,6.85,12.07,1.95,48.41,16.42,38.14,4,49.88,269.49
11.24,6.87,13.52,1.86,53.76,14.81,39.56,4.2,53.34,290.75
11.48,7.05,14.72,1.82,52.54,16.07,41.14,4.2,56.28,292.85
11.27,6.97,12.92,1.85,52.68,15.05,39.02,4.3,49.7,283.26
11.05,6.79,10.76,1.82,48.35,15.44,34.1,4.1,55.28,272.4
11.45,6.56,14.42,1.9,51.27,15.35,40.48,4.3,49.84,294.62
11.64,6.94,11.95,1.91,53.27,16.3,37.88,4.6,60.74,279.71
11.41,6.97,12.53,2.05,51.12,15.43,36.22,4.3,49.48,300.39
11.62,6.76,13.14,1.95,52.41,15.96,41.68,4.25,55.98,288.43
11.14,6.77,13.46,1.89,50.16,16.58,40.58,3.8,52.34,272.67
10.58,7.16,11.77,1.8,49.48,16.07,34.1,4.2,49.72,284.54
11.38,7.17,11.56,1.91,50.84,15.13,34.4,4.3,46.08,274.43
11.55,6.67,11.52,1.88,49.43,14.57,35.86,3.8,51.76,262.76
11.24,7.06,12.71,1.79,51.53,15.96,41.22,4.75,53.64,312.72
11.37,6.97,12.03,1.9,51.86,16.16,39.4,4.2,63.6,299.39
11.21,7.11,12.36,1.9,48.92,15.75,31.52,4.1,45.66,269.53
11.35,7.08,13.57,2.01,51.67,15.08,38.2,3.8,56.74,321.9
11.75,6.51,13.9,1.83,52.87,16.19,36.4,4.6,65.84,286.35
11.8,6.77,13.76,1.97,52.7,16.53,43.4,4.8,44.34,289.41
11.4,6.6,11.43,2.01,52.98,15.3,34.54,4.9,52.14,294.95
11.58,6.71,13.04,1.85,51.24,15.76,37.98,4.3,51.86,271.32
11.21,6.8,12.81,1.92,50.81,15.94,37.04,4,51.32,276.8
11.47,6.43,12.33,1.94,50.3,15,38.72,4,57.26,293.72
11.46,7.16,10.88,2.09,50.38,15.87,35.46,3.8,52,280.21
11.21,7.1,10.2,1.82,48.85,15.11,32.06,4.2,55.8,283.58
11.92,6.78,12.42,1.89,53.17,15.18,38.6,4.6,54.02,282.66
10.96,7.05,11.21,2.01,49.34,14.45,34.12,3.6,39.88,280.25
11.24,7.19,10.35,1.95,49.67,15.64,38.06,4.04,45.6,278.75
11.67,6.54,11.07,1.83,51.47,15.72,35.44,4.7,56.18,263.5
11.33,6.65,11.35,1.95,52.51,15.89,32.76,4.9,51.84,278.48
11.47,7.21,11.72,1.9,48.86,15.75,31.64,4.1,51.66,278.81
11.58,6.84,12.52,1.85,49.81,16.1,37.06,4.2,44.14,253.96
11.47,6.9,11.92,1.82,51,15.97,39.74,4.35,51.72,275.68
10.98,6.8,10.77,1.95,49.6,14.89,33.34,4.1,41.3,270.65
11.26,6.79,11.74,1.86,50.42,15.05,38.3,4.2,45.7,278.69
11.76,6.59,12.42,1.89,51.77,16.12,41.94,3.6,66.32,271.04
10.97,7.06,12.69,1.89,50.05,15.02,40.98,4,43,312
11.27,7.11,11.08,1.65,49.93,15,33.14,4.4,56.78,281.51
11.87,6.92,12.15,1.95,52.7,15.83,40.24,4,50.22,260
11.32,6.92,11.55,1.92,50.77,14.95,37.44,4.5,44.42,297.87
11.74,6.35,13.09,1.86,52.04,15.74,41.9,4.3,52.38,269.48
11.12,7.3,12.48,1.98,53.21,15.44,37.86,4,51.36,307.11
10.81,6.91,12.31,1.91,50.83,16.27,37.28,4,54.62,298.47
11.78,6.66,15.15,1.86,52.15,15.24,36.94,4.2,49.02,280.7
11.67,7.19,13.04,1.98,51.59,15.71,35.34,4.4,42.04,284.47
11.33,7.11,12.43,1.89,50.48,16.98,39.74,4,45.3,264.49
11.51,6.44,11.07,2.02,50.55,16.27,38.58,4.75,49.48,292
11.18,7.36,12.09,1.94,51.02,16.03,36.48,3.9,44.66,279.54
11.81,6.88,12.1,1.83,51.31,15.89,41.14,4.2,58.8,288.15
11.35,6.68,12.72,1.84,51.51,15.55,40.68,3.8,66.8,309.96
11.68,6.9,13.08,1.94,51.42,15.6,34.88,4,52.96,279.95
11.62,6.93,11.82,1.89,50.97,15.91,34.2,4.1,53.1,264.97
11.77,6.59,14.15,1.89,52.74,15.67,38.58,4,58.44,284.21
11.83,6.91,12.12,1.93,51.09,15.83,37.2,4.2,51.8,278.79
11.02,6.81,13.79,1.85,54.03,15.44,42.86,4.3,50.46,317.96
11.43,6.74,12.72,1.84,52.05,16.65,40.78,4.1,56.12,275.98
